team,total_matches,elo_rating
India,225,1376.9937395209909
Samoa,54,1375.1338218983035
Central African Republic,86,1370.4752834987546
Belize,98,1369.7143429160142
Saint Lucia,89,1367.2003300886377
Eritrea,30,1363.674791602736
Montserrat,46,1361.4160372388478
Tibet,17,1345.0244002077202
Estonia,244,1339.7209941908498
Luxembourg,189,1338.7605275951457
Azerbaijan,179,1338.5980613193963
Tuvalu,32,1332.1423551990792
Aruba,64,1326.5649318523165
Bonaire,38,1326.4394650852585
Afghanistan,96,1325.8049725944234
South Sudan,55,1323.9152566131033
Eswatini,100,1317.334684963996
Mauritius,136,1312.929607607753
Cyprus,223,1312.9155560980985
Chad,85,1311.578256848648
Faroe Islands,206,1309.0925121886878
Myanmar,187,1303.825625916809
Cook Islands,45,1296.5644934012194
Dominica,70,1294.1182413943723
Cayman Islands,66,1291.0906970636447
Antigua and Barbuda,101,1290.4660426500463
Turks and Caicos Islands,39,1280.6445601569671
Moldova,188,1275.1891696611094
Bangladesh,174,1275.0117706519206
Somalia,30,1270.696609642782
Barbados,98,1269.1730509082922
Alderney,38,1263.9061648695224
Latvia,261,1262.6682546287495
Pakistan,132,1254.8521806939357
São Tomé and Príncipe,61,1248.4157569472125
British Virgin Islands,46,1240.748163187762
Tonga,58,1237.7330403830747
Lithuania,241,1232.4822086346207
Cambodia,153,1231.284719976535
Nepal,163,1228.1288992759414
Malta,219,1225.6360731873842
Djibouti,55,1225.3921193210388
United States Virgin Islands,51,1212.4533987300697
Northern Mariana Islands,24,1205.2631363955074
Sri Lanka,158,1194.7279875867262
Bahamas,50,1189.4688937621138
Maldives,171,1188.3671065724352
Anguilla,44,1183.748958447428
Mongolia,83,1182.6184369377715
Taiwan,120,1181.031373273068
Seychelles,99,1169.5843101805865
Laos,153,1163.8461694856628
American Samoa,47,1163.571547226996
Guam,101,1160.2453416202404
Brunei,89,1131.0217183728987
Gibraltar,80,1104.5042663755326
Andorra,167,1100.666647497269
Macau,103,1091.0554347479267
Timor-Leste,75,1070.256275484691
Bhutan,86,1062.5419482341476
Liechtenstein,178,1037.7950663666702
San Marino,188,946.9187413984658
